"username","commentcount","likecount","type","description","pubyear","pubmonth","pubday","posturl"
"kamalaharris","735","54528","Photo","Congratulations @lilly on breaking down barriers with the premiere of @latewithlilly tonight! Be sure to tune in. Glad to catch up before the taping of @fallontonight, airing at 11:35/10:35c.","2019","9","16","https://www.instagram.com/p/B2fUcPBlWRf/"
"kamalaharris","937","40614","Photo","Fifty-six years ago today, four little girls — Addie Mae Collins, Carol Denise McNair, Carole Robertson, and Cynthia Diane Wesley — were taken too soon from this world. ⁣
⁣
On the anniversary of the 16th Street Baptist Church bombing, our struggle for justice still continues to this day.","2019","9","15","https://www.instagram.com/p/B2cl5vTllh1/"
"kamalaharris","226","13713","Photo","CBC weekend is about family. So happy to see @laurenaunderwood and meet her mother last night.","2019","9","15","https://www.instagram.com/p/B2cNPFUF_zu/"
"kamalaharris","4268","139649","Photo","Brett Kavanaugh must be impeached.","2019","9","15","https://www.instagram.com/p/B2b7Pnkl09-/"
"kamalaharris","785","86498","Photo","Happy birthday to our son, Cole. You are a pure joy and I am proud, every day, to be your Momala.","2019","9","15","https://www.instagram.com/p/B2buFnbFwz7/"
"kamalaharris","649","20081","Photo","The strength of our union isn’t in the walls we build. Our power is found in our diversity and our unity.","2019","9","14","https://www.instagram.com/p/B2Z_6G2n914/"
"kamalaharris","625","18879","Video","After I spoke at the Iowa State Fair, an eight-year-old child came up to me, tugged on my jacket, and told me about the active shooter drills he does at school.⁣
⁣
We are traumatizing our children.","2019","9","14","https://www.instagram.com/p/B2ZPPgkFXA3/"
"kamalaharris","649","11587","Video","Reproductive rights are under attack across our nation and it should have been discussed last night.","2019","9","13","https://www.instagram.com/p/B2WwprmFULQ/"
"kamalaharris","762","66467","Photo","Instagram vs. Real Life. Love my sister, and so grateful to have her by my side.","2019","9","13","https://www.instagram.com/p/B2Vwhi5li-v/"
"kamalaharris","762","66467","Photo","Instagram vs. Real Life. Love my sister, and so grateful to have her by my side.","2019","9","13","https://www.instagram.com/p/B2Vwhi5li-v/"
"kamalaharris","832","25600","Video","I know how important having a teacher who looks like you is to your success.","2019","9","13","https://www.instagram.com/p/B2Vny68lrZz/"
"kamalaharris","2207","107415","Photo",,"2019","9","13","https://www.instagram.com/p/B2VV3XqlR9_/"
"kamalaharris","2273","57619","Video","And now, Donald Trump, you can go back to watching Fox News. #DemDebate","2019","9","13","https://www.instagram.com/p/B2VO65ynKr3/"
"kamalaharris","222","13345","Video","Happy Founders' Day to @texassouthern. It's game time.","2019","9","12","https://www.instagram.com/p/B2VFq1vlM9p/"
"kamalaharris","433","9849","Video","Our veterans have sacrificed for our nation. As commander in chief, I’ll ensure they have the support they’ve earned.","2019","9","11","https://www.instagram.com/p/B2SMSg3Fdhe/"
"kamalaharris","382","31891","Photo","We will always remember the lives we lost on 9/11, the first responders who ran towards danger to save others, and those who gave their lives to keep our nation safe. Even amidst one of our darkest moments, our nation came together to show the world we won’t be shaken by fear.","2019","9","11","https://www.instagram.com/p/B2RfaEGlr9j/"
"kamalaharris","625","10216","Video","The criminal justice system itself is rarely held accountable — we must change that.","2019","9","10","https://www.instagram.com/p/B2Pj_wmHu1M/"
"kamalaharris","173","10403","Video",".@AdyBarkan’s story and commitment to this fight to ensure health care for ALL is so deeply inspiring — not only to me, but to our entire country. I’m honored to have joined him for a conversation (and chat about short ribs) for his new show, Uncovered. Watch the full thing by clicking the link in my bio.","2019","9","10","https://www.instagram.com/p/B2PI991l4wS/"
